nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match,fattore_affidabilita,note_fbref,valore_v4
David Neres,Napoli,A,28,16,922,3,3,1.48,3.79,3,0,42,0.947,40,True,match su cognome+squadra,0.956,"nome completo -- titolarita' 62%, minuti giocati 27% del possibile",38
Jesus Rodríguez,Como,A,19,31,1731,2,9,3.92,6.97,3,1,40,1.0,40,True,match su cognome+squadra,0.977,"nome completo -- titolarita' 58%, minuti giocati 51% del possibile",39
Charles De Ketelaere,Atalanta,A,24,31,2177,3,5,4.55,10.65,4,0,40,1.011,40,True,match su cognome+squadra,1.019,"nome completo -- titolarita' 84%, minuti giocati 64% del possibile",41
Jonathan Rowe,Bologna,A,22,28,1605,3,2,4.98,2.7,2,0,40,0.965,39,True,match su cognome+squadra,0.976,"nome completo -- titolarita' 61%, minuti giocati 47% del possibile",38
Giacomo Raspadori,Atalanta,A,25,13,796,3,1,3.49,1.2,0,0,42,0.937,39,True,match su cognome+squadra,0.943,"nome completo -- titolarita' 54%, minuti giocati 23% del possibile",37
Colombo,Genoa,A,,,,,,,,,,36,1.0,36,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,36
Jeremie Boga,Juventus,A,28,15,679,4,0,4.13,1.67,1,0,36,0.947,34,True,match su cognome+squadra,0.925,"nome completo -- titolarita' 40%, minuti giocati 20% del possibile",31
Alajbegovic,Juventus,A,,,,,,,,,,33,1.0,33,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,33
Ange-Yoan Bonny,Inter,A,21,33,1142,5,4,4.58,2.67,1,0,32,0.997,32,True,match su cognome+squadra,0.929,"nome completo -- titolarita' 30%, minuti giocati 33% del possibile",30
Noa Lang,Napoli,A,26,18,666,1,2,1.37,1.97,2,0,35,0.906,32,True,match su cognome+squadra,0.923,"nome completo -- titolarita' 39%, minuti giocati 20% del possibile",30
Banda,Lecce,A,,,,,,,,,,32,1.0,32,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,32
Romelu Lukaku,Napoli,A,32,5,44,1,0,0.59,0.21,1,0,35,0.877,31,True,match su cognome+squadra,0.861,"nome completo -- titolarita' 0%, minuti giocati 1% del possibile",27
Vítinha,Genoa,A,,,,,,,,,,31,1.0,31,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nome completo,31
Chivu,Inter,A,,,,,,,,,,30,1.0,30,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,30
Stulic,Lecce,A,,,,,,,,,,29,1.0,29,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,29
Assane Diao,Como,A,19,17,1075,2,1,3.18,1.68,2,0,30,0.927,28,True,match su cognome+squadra,0.976,"nome completo -- titolarita' 76%, minuti giocati 31% del possibile",27
Nicolò Cambiaghi,Bologna,A,24,28,1518,3,4,2.92,3.03,3,1,28,0.962,27,True,match su cognome+squadra,0.973,"nome completo -- titolarita' 61%, minuti giocati 44% del possibile",26
Gustav Isaksen,Lazio,A,24,30,1593,5,1,5.41,0.88,0,0,26,0.983,26,True,match su cognome+squadra,0.975,"nome completo -- titolarita' 60%, minuti giocati 47% del possibile",25
