nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match,fattore_affidabilita,note_fbref,valore_v4,voto_medio_2025_26,valore_moneyball,note_moneyball
Mastantuono,Fiorentina,C,,,,,,,,,,34,1.0,34,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,34,,34,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Frank Anguissa,Napoli,C,29,18,1258,4,1,2.55,1.55,1,0,33,0.987,33,True,match su cognome+squadra,0.983,"nome completo -- titolarita' 78%, minuti giocati 37% del possibile; 1.9 tackle+intercetti/90",32,6.87,22,"cognome univoco -- 18 presenze, voto 6.87, baseline C 6.76"
Mario Pašalić,Atalanta,C,30,33,1936,3,4,3.45,6.25,3,0,29,1.09,32,True,match su cognome+squadra,0.969,"nome completo -- titolarita' 64%, minuti giocati 57% del possibile; 1.4 tackle+intercetti/90",31,6.88,24,"nome completo -- 33 presenze, voto 6.88, baseline C 6.76"
Bryan Cristante,Roma,C,30,37,3094,2,1,2.35,2.28,6,0,32,1.01,32,True,match su cognome+squadra,1.056,"nome completo -- titolarita' 97%, minuti giocati 90% del possibile; 2.1 tackle+intercetti/90",34,7.04,22,"nome completo -- 37 presenze, voto 7.04, baseline C 6.76"
Jurgen Ekkelenkamp,Udinese,C,25,31,2186,5,3,4.73,2.56,1,0,28,1.091,31,True,match su cognome+squadra,1.013,"nome completo -- titolarita' 87%, minuti giocati 64% del possibile; 1.9 tackle+intercetti/90",31,6.87,32,"cognome univoco -- 31 presenze, voto 6.87, baseline C 6.76"
Ruben Loftus-Cheek,Milan,C,29,28,1133,3,1,4.14,1.04,2,0,32,0.973,31,True,match su cognome+squadra,0.913,"nome completo -- titolarita' 43%, minuti giocati 33% del possibile; 1.0 tackle+intercetti/90",28,6.6,7,"cognome univoco -- 28 presenze, voto 6.60, baseline C 6.76"
Youssouf Fofana,Milan,C,26,33,2203,2,3,4.59,3.64,4,0,29,1.052,30,True,match su cognome+squadra,0.999,"nome completo -- titolarita' 85%, minuti giocati 64% del possibile; 1.6 tackle+intercetti/90",30,,30,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Adrian Bernabe,Parma,C,24,32,2470,3,1,2.62,4.64,0,0,29,1.033,30,True,match su cognome+squadra,1.014,"nome completo -- titolarita' 97%, minuti giocati 72% del possibile; 1.5 tackle+intercetti/90",30,7.05,29,"nome completo -- 32 presenze, voto 7.05, baseline C 6.76"
Cesare Casadei,Torino,C,22,33,1997,6,0,4.65,1.81,5,0,28,1.032,29,True,match su cognome+squadra,0.953,"nome completo -- titolarita' 58%, minuti giocati 58% del possibile; 1.1 tackle+intercetti/90",28,6.83,27,"cognome univoco -- 33 presenze, voto 6.83, baseline C 6.76"
Petar Sučić,Inter,C,21,34,1765,2,2,2.18,4.04,5,0,28,1.005,28,True,match su cognome+squadra,0.974,"nome completo -- titolarita' 62%, minuti giocati 52% del possibile; 1.7 tackle+intercetti/90",27,6.88,15,"cognome univoco -- 34 presenze, voto 6.88, baseline C 6.76"
Niccolò Pisilli,Roma,C,20,25,1295,2,4,2.27,2.22,3,0,28,1.015,28,True,match su cognome+squadra,0.985,"nome completo -- titolarita' 52%, minuti giocati 38% del possibile; 2.6 tackle+intercetti/90",28,6.69,10,"cognome univoco -- 25 presenze, voto 6.69, baseline C 6.76"
Nicola Zalewski,Atalanta,C,23,33,1897,2,4,3.14,5.14,3,0,24,1.064,26,True,match su cognome+squadra,0.987,"nome completo -- titolarita' 73%, minuti giocati 56% del possibile; 1.7 tackle+intercetti/90",26,6.98,24,"nome completo -- 33 presenze, voto 6.98, baseline C 6.76"
Marten de Roon,Atalanta,C,34,34,2691,1,2,0.82,1.59,8,1,27,0.977,26,True,match su cognome+squadra,1.054,"nome completo -- titolarita' 94%, minuti giocati 79% del possibile; 2.3 tackle+intercetti/90",27,7.04,15,"nome completo -- 34 presenze, voto 7.04, baseline C 6.76"
Lazar Samardzic,Atalanta,C,23,26,1030,2,1,2.78,2.38,1,0,27,0.957,26,True,match su cognome+squadra,0.931,"nome completo -- titolarita' 42%, minuti giocati 30% del possibile; 1.6 tackle+intercetti/90",24,6.77,10,"nome completo -- 26 presenze, voto 6.77, baseline C 6.76"
Cristian Volpato,Sassuolo,C,21,24,1064,2,4,1.75,2.9,4,0,25,1.01,25,True,match su cognome+squadra,0.93,"nome completo -- titolarita' 46%, minuti giocati 31% del possibile; 1.4 tackle+intercetti/90",23,6.75,12,"nome completo -- 24 presenze, voto 6.75, baseline C 6.76"
Jens Odgaard,Bologna,C,26,26,1378,5,1,2.73,0.94,1,0,25,1.003,25,True,match su cognome+squadra,0.937,"nome completo -- titolarita' 62%, minuti giocati 40% del possibile; 1.0 tackle+intercetti/90",23,6.64,19,"cognome univoco -- 26 presenze, voto 6.64, baseline C 6.76"
Stanislav Lobotka,Napoli,C,30,32,2431,1,1,0.41,1.06,3,0,26,0.954,25,True,match su cognome+squadra,0.996,"nome completo -- titolarita' 91%, minuti giocati 71% del possibile; 1.2 tackle+intercetti/90",25,6.93,12,"nome completo -- 32 presenze, voto 6.93, baseline C 6.76"
Messias,Genoa,C,,,,,,,,,,25,1.0,25,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,25,,25,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Pierotti,Lecce,C,,,,,,,,,,25,1.0,25,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,25,,25,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Samuel Chukwueze,Milan,C,26,1,26,0,0,0,0,0,0,28,0.841,24,True,match su cognome+squadra,0.881,"nome completo -- titolarita' 0%, minuti giocati 1% del possibile",21,7.3,1,"cognome univoco -- 1 presenze, voto 7.30, baseline C 6.76"
Samuele Ricci,Milan,C,23,31,1312,1,4,2.11,2.78,3,0,24,1.001,24,True,match su cognome+squadra,0.919,"nome completo -- titolarita' 35%, minuti giocati 38% del possibile; 1.2 tackle+intercetti/90",22,6.89,15,"nome completo -- 31 presenze, voto 6.89, baseline C 6.76"
Luis Henrique,Inter,C,23,30,1624,1,2,1.15,2.19,1,0,25,0.964,24,True,match su cognome+squadra,0.951,"nome completo -- titolarita' 60%, minuti giocati 48% del possibile; 1.3 tackle+intercetti/90",23,6.86,11,"nome completo -- 30 presenze, voto 6.86, baseline C 6.76"
Danilo Cataldi,Lazio,C,30,27,1985,3,3,2.71,2.05,6,0,22,1.034,23,True,match su cognome+squadra,1.013,"nome completo -- titolarita' 89%, minuti giocati 58% del possibile; 1.9 tackle+intercetti/90",23,6.88,19,"nome completo -- 27 presenze, voto 6.88, baseline C 6.76"
Neil El Aynaoui,Roma,C,24,25,999,1,2,0.96,1.77,5,0,24,0.938,23,True,match su cognome+squadra,0.956,"nome completo -- titolarita' 32%, minuti giocati 29% del possibile; 2.5 tackle+intercetti/90",22,6.7,2,"cognome univoco -- 25 presenze, voto 6.70, baseline C 6.76"
Nemanja Matić,Sassuolo,C,36,34,2660,1,1,0.33,0.92,7,1,24,0.948,23,True,match su cognome+squadra,1.03,"nome completo -- titolarita' 91%, minuti giocati 78% del possibile; 1.9 tackle+intercetti/90",24,6.95,9,"nome completo -- 34 presenze, voto 6.95, baseline C 6.76"
Teun Koopmeiners,Juventus,C,27,33,1827,0,0,1.79,0.73,5,0,25,0.906,23,True,match su cognome+squadra,0.961,"nome completo -- titolarita' 55%, minuti giocati 53% del possibile; 1.5 tackle+intercetti/90",22,6.71,1,"nome completo -- 33 presenze, voto 6.71, baseline C 6.76"
Jesper Karlström,Udinese,C,30,36,3146,1,0,0.94,0.9,6,0,23,0.956,22,True,match su cognome+squadra,1.058,"nome completo -- titolarita' 100%, minuti giocati 92% del possibile; 2.0 tackle+intercetti/90",23,6.8,2,"cognome univoco -- 36 presenze, voto 6.80, baseline C 6.76"
Gvidas Gineitis,Torino,C,21,29,1756,0,1,0.94,2.68,5,0,23,0.937,22,True,match su cognome+squadra,1.025,"nome completo -- titolarita' 79%, minuti giocati 51% del possibile; 2.6 tackle+intercetti/90",23,6.77,1,"cognome univoco -- 29 presenze, voto 6.77, baseline C 6.76"
Berisha,Lecce,C,,,,,,,,,,22,1.0,22,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,22,,22,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Calò,Frosinone,C,,,,,,,,,,22,1.0,22,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,22,,22,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Luiz,Juventus,C,,,,,,,,,,22,1.0,22,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,22,,22,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Michael Folorunsho,Napoli,C,27,27,1999,2,0,2.95,0.94,3,0,22,0.955,21,True,"match su cognome (squadra diversa, trasferimento presunto)",0.971,"nome completo -- titolarita' 89%, minuti giocati 58% del possibile; 0.9 tackle+intercetti/90",20,,20,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Evan Ferguson,Bologna,C,20,16,773,3,2,3.48,1.69,1,0,20,0.985,20,True,"match su cognome (squadra diversa, trasferimento presunto)",0.904,"nome completo -- titolarita' 62%, minuti giocati 23% del possibile; 0.6 tackle+intercetti/90",18,,18,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Gianluca Gaetano,Atalanta,C,25,33,1912,2,4,2,2.21,4,0,19,1.031,20,True,"match su cognome (squadra diversa, trasferimento presunto)",0.982,"nome completo -- titolarita' 64%, minuti giocati 56% del possibile; 1.8 tackle+intercetti/90",20,6.86,17,"cognome univoco -- 33 presenze, voto 6.86, baseline C 6.76"
Antonio Vergara,Napoli,C,22,12,612,1,2,0.71,0.84,2,0,22,0.922,20,True,match su cognome+squadra,0.955,"nome completo -- titolarita' 67%, minuti giocati 18% del possibile; 1.9 tackle+intercetti/90",19,6.9,9,"cognome univoco -- 12 presenze, voto 6.90, baseline C 6.76"
Frendrup,Genoa,C,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,20,,20,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Gandelman,Lecce,C,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,20,,20,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Milla,Como,C,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,20,,20,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Oulai,Fiorentina,C,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,20,,20,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Pessina,Monza,C,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,20,,20,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Alieu Fadera,Como,C,23,28,987,2,1,2.36,0.88,5,0,20,0.937,19,True,"match su cognome (squadra diversa, trasferimento presunto)",0.953,"nome completo -- titolarita' 29%, minuti giocati 29% del possibile; 2.5 tackle+intercetti/90",18,,18,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Daniel Maldini,Cagliari,C,23,12,687,2,1,2.15,0.56,0,0,20,0.93,19,True,"match su cognome (squadra diversa, trasferimento presunto)",1.0,cognome ambiguo (2 candidati),19,,19,nessun ricalcolo (nome ambiguo (2 omonimi)) -- resta il valore v4
Tommaso Pobega,Bologna,C,26,26,1434,3,1,1.84,0.55,2,1,20,0.954,19,True,match su cognome+squadra,0.994,"nome completo -- titolarita' 65%, minuti giocati 42% del possibile; 2.4 tackle+intercetti/90",19,,19,nessun ricalcolo (nome ambiguo (2 omonimi)) -- resta il valore v4
Jakub Piotrowski,Udinese,C,27,33,1696,1,1,3.21,0.78,2,0,20,0.95,19,True,match su cognome+squadra,0.987,"nome completo -- titolarita' 61%, minuti giocati 50% del possibile; 2.1 tackle+intercetti/90",19,6.67,1,"cognome univoco -- 33 presenze, voto 6.67, baseline C 6.76"
Mandela Keita,Parma,C,23,37,2979,1,1,0.48,0.28,1,0,20,0.965,19,True,match su cognome+squadra,1.082,"nome completo -- titolarita' 97%, minuti giocati 87% del possibile; 2.7 tackle+intercetti/90",21,6.94,15,"cognome univoco -- 37 presenze, voto 6.94, baseline C 6.76"
Marco Brescianini,Fiorentina,C,25,17,862,1,1,2.15,1.14,1,0,21,0.923,19,True,match su cognome+squadra,0.893,"cognome + squadra -- titolarita' 59%, minuti giocati 25% del possibile; 0.3 tackle+intercetti/90",17,,17,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Giovanni Fabbian,Fiorentina,C,22,14,705,2,0,1.95,0.95,0,0,21,0.912,19,True,"match su cognome (squadra diversa, trasferimento presunto)",0.865,"cognome + squadra -- titolarita' 27%, minuti giocati 14% del possibile; 0.6 tackle+intercetti/90",16,,16,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Schmid,Frosinone,C,,,,,,,,,,19,1.0,19,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,19,,19,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Tommaso Baldanzi,Genoa,C,22,10,386,1,0,1.35,0.41,2,0,20,0.877,18,True,"match su cognome (squadra diversa, trasferimento presunto)",0.95,"cognome + squadra -- titolarita' 62%, minuti giocati 12% del possibile; 2.0 tackle+intercetti/90",17,,17,nessun ricalcolo (nome ambiguo (2 omonimi)) -- resta il valore v4
Michel Ndary Adopo,Cagliari,C,25,38,3050,1,2,2.53,2.44,4,0,18,1.014,18,True,match su cognome+squadra,1.037,"nome completo -- titolarita' 87%, minuti giocati 89% del possibile; 1.9 tackle+intercetti/90",19,6.63,1,"cognome univoco -- 38 presenze, voto 6.63, baseline C 6.76"
Toma Bašić,Venezia,C,28,23,1735,2,3,1.31,2.41,0,1,18,0.999,18,True,"match su cognome (squadra diversa, trasferimento presunto)",0.99,"nome completo -- titolarita' 100%, minuti giocati 51% del possibile; 1.3 tackle+intercetti/90",18,6.85,15,"nome completo -- 23 presenze, voto 6.85, baseline C 6.76"
Nikola Moro,Bologna,C,27,30,1799,2,0,0.93,2.05,1,0,19,0.944,18,True,match su cognome+squadra,0.961,"nome completo -- titolarita' 63%, minuti giocati 53% del possibile; 1.4 tackle+intercetti/90",17,7.14,26,"nome completo -- 30 presenze, voto 7.14, baseline C 6.76"
Fabio Miretti,Juventus,C,21,23,617,1,2,1.63,1.25,1,0,19,0.93,18,True,match su cognome+squadra,0.912,"nome completo -- titolarita' 22%, minuti giocati 18% del possibile; 1.9 tackle+intercetti/90",16,6.7,5,"nome completo -- 23 presenze, voto 6.70, baseline C 6.76"
Lewis Ferguson,Bologna,C,25,27,1601,1,0,0.65,1.57,7,1,20,0.906,18,True,match su cognome+squadra,0.965,"nome completo -- titolarita' 63%, minuti giocati 47% del possibile; 1.6 tackle+intercetti/90",17,6.74,1,"nome completo -- 27 presenze, voto 6.74, baseline C 6.76"
Davide Frattesi,Lazio,C,25,22,569,0,0,2.29,0.6,0,0,21,0.874,18,True,"match su cognome (squadra diversa, trasferimento presunto)",0.893,"nome completo -- titolarita' 14%, minuti giocati 17% del possibile; 1.6 tackle+intercetti/90",16,6.55,1,"nome completo -- 22 presenze, voto 6.55, baseline C 6.76"
Giovanni Fabbian,Fiorentina,C,22,15,468,0,0,0.72,0.7,2,0,21,0.862,18,True,match su cognome+squadra,0.92,"cognome unico (probabile trasferimento) -- titolarita' 57%, minuti giocati 21% del possibile; 1.2 tackle+intercetti/90",17,,17,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Edon Zhegrova,Juventus,C,26,19,382,0,0,0.76,1.03,1,0,21,0.861,18,True,match su cognome+squadra,0.85,"nome completo -- titolarita' 0%, minuti giocati 11% del possibile; 0.7 tackle+intercetti/90",15,6.67,1,"cognome univoco -- 19 presenze, voto 6.67, baseline C 6.76"
Marco Brescianini,Fiorentina,C,25,9,182,1,0,0.2,0.1,1,0,21,0.861,18,True,"match su cognome (squadra diversa, trasferimento presunto)",0.885,"cognome unico (probabile trasferimento) -- titolarita' 0%, minuti giocati 5% del possibile",16,,16,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Liberali,Como,C,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,18,,18,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Sow,Genoa,C,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,18,,18,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Stankovic,Inter,C,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,18,,18,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Daniel Maldini,Cagliari,C,23,9,264,0,0,0.66,0.62,1,0,20,0.857,17,True,"match su cognome (squadra diversa, trasferimento presunto)",1.0,cognome ambiguo (2 candidati),17,,17,nessun ricalcolo (nome ambiguo (2 omonimi)) -- resta il valore v4
Ellertsson,Genoa,C,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,17,,17,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Gomez,Udinese,C,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,17,,17,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Perez,Venezia,C,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),17,,17,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Sorensen,Parma,C,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,17,,17,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Cher Ndour,Fiorentina,C,21,33,1876,3,0,2.61,0.35,2,0,17,0.959,16,True,match su cognome+squadra,0.968,"nome completo -- titolarita' 61%, minuti giocati 55% del possibile; 1.5 tackle+intercetti/90",15,6.67,8,"cognome univoco -- 33 presenze, voto 6.67, baseline C 6.76"
Hans Nicolussi Caviglia,Parma,C,25,15,869,0,3,0.73,0.82,0,0,17,0.933,16,True,match su cognome+squadra,0.932,"cognome + squadra -- titolarita' 67%, minuti giocati 25% del possibile; 1.1 tackle+intercetti/90",15,,15,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Emirhan İlkhan,Torino,C,21,19,1001,1,2,2.36,1.22,2,1,17,0.939,16,True,match su cognome+squadra,1.004,"nome completo -- titolarita' 68%, minuti giocati 29% del possibile; 2.9 tackle+intercetti/90",16,6.82,6,"nome completo -- 19 presenze, voto 6.82, baseline C 6.76"
Matteo Prati,Cagliari,C,21,20,1268,1,0,1.2,1.44,4,0,18,0.91,16,True,match su cognome+squadra,0.98,"cognome + squadra -- titolarita' 75%, minuti giocati 37% del possibile; 1.9 tackle+intercetti/90",16,,16,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Andy Diouf,Inter,C,22,19,493,1,0,0.94,1.75,1,0,18,0.889,16,True,match su cognome+squadra,0.886,"nome completo -- titolarita' 21%, minuti giocati 14% del possibile; 1.3 tackle+intercetti/90",14,6.72,3,"cognome univoco -- 19 presenze, voto 6.72, baseline C 6.76"
Matteo Prati,Cagliari,C,21,13,614,0,1,0.47,0.26,2,0,18,0.881,16,True,"match su cognome (squadra diversa, trasferimento presunto)",0.915,"cognome unico (probabile trasferimento) -- titolarita' 54%, minuti giocati 18% del possibile; 1.2 tackle+intercetti/90",15,,15,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Jacopo Fazzini,Cagliari,C,22,20,584,0,0,0.88,0.72,2,0,18,0.866,16,True,"match su cognome (squadra diversa, trasferimento presunto)",0.93,"nome completo -- titolarita' 25%, minuti giocati 17% del possibile; 2.3 tackle+intercetti/90",15,6.67,1,"nome completo -- 20 presenze, voto 6.67, baseline C 6.76"
Colpani,Monza,C,,,,,,,,,,16,1.0,16,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,16,,16,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Koutsoupias,Frosinone,C,,,,,,,,,,16,1.0,16,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,16,,16,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Masini,Frosinone,C,,,,,,,,,,16,1.0,16,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),16,,16,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Fisayo Dele-Bashiru,Lazio,C,24,24,1187,1,0,0.59,1.12,0,0,17,0.901,15,True,match su cognome+squadra,0.933,"nome completo -- titolarita' 46%, minuti giocati 35% del possibile; 1.4 tackle+intercetti/90",14,6.53,1,"cognome univoco -- 24 presenze, voto 6.53, baseline C 6.76"
Simon Sohm,Venezia,C,24,16,708,0,1,0.18,1.74,2,0,17,0.894,15,True,"match su cognome (squadra diversa, trasferimento presunto)",1.0,cognome ambiguo (2 candidati),15,,15,nessun ricalcolo (nome ambiguo (2 omonimi)) -- resta il valore v4
Hans Nicolussi Caviglia,Parma,C,25,11,585,0,1,0.12,0.92,4,0,17,0.882,15,True,"match su cognome (squadra diversa, trasferimento presunto)",0.937,"cognome unico (probabile trasferimento) -- titolarita' 64%, minuti giocati 17% del possibile; 1.5 tackle+intercetti/90",14,,14,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Simon Sohm,Venezia,C,24,12,717,0,0,0.61,0.3,1,0,17,0.867,15,True,"match su cognome (squadra diversa, trasferimento presunto)",1.0,cognome ambiguo (2 candidati),15,,15,nessun ricalcolo (nome ambiguo (2 omonimi)) -- resta il valore v4
Busio,Venezia,C,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,15,,15,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Cichella,Frosinone,C,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,15,,15,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Hainaut,Venezia,C,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,15,,15,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Lindstrom,Napoli,C,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,15,,15,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Payero,Udinese,C,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),15,,15,"nessun ricalcolo (cognome univoco, 0 presenze 2025-26) -- resta il valore v4"
Traorè,Genoa,C,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,15,,15,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Gaetano Oristanio,Torino,C,22,20,859,1,0,2.4,0.6,1,0,16,0.899,14,True,"match su cognome (squadra diversa, trasferimento presunto)",0.897,"nome completo -- titolarita' 40%, minuti giocati 25% del possibile; 0.8 tackle+intercetti/90",13,6.6,1,"cognome univoco -- 20 presenze, voto 6.60, baseline C 6.76"
Luca Lipani,Sassuolo,C,20,24,1034,0,1,0.92,1.11,3,0,16,0.901,14,True,match su cognome+squadra,0.976,"nome completo -- titolarita' 42%, minuti giocati 30% del possibile; 2.8 tackle+intercetti/90",14,6.6,1,"cognome univoco -- 24 presenze, voto 6.60, baseline C 6.76"
Lorenzo Venturino,Genoa,C,19,10,207,0,0,0.29,0.44,0,0,16,0.85,14,True,"match su cognome (squadra diversa, trasferimento presunto)",0.881,"cognome + squadra -- titolarita' 0%, minuti giocati 1% del possibile",12,,12,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Woyo Coulibaly,Lecce,C,26,20,1054,0,0,0.11,0.3,2,0,16,0.87,14,True,"match su cognome (squadra diversa, trasferimento presunto)",0.952,"nome completo -- titolarita' 45%, minuti giocati 31% del possibile; 2.1 tackle+intercetti/90",13,,13,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Grillitsch,Frosinone,C,,,,,,,,,,14,1.0,14,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,14,,14,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Sottil,Fiorentina,C,,,,,,,,,,14,1.0,14,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),14,,14,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Luca Mazzitelli,Como,C,29,18,767,2,2,0.71,1.07,3,0,14,0.944,13,True,"match su cognome (squadra diversa, trasferimento presunto)",0.965,"nome completo -- titolarita' 50%, minuti giocati 22% del possibile; 2.5 tackle+intercetti/90",13,,13,nessun ricalcolo (nome ambiguo (2 omonimi)) -- resta il valore v4
Lennon Miller,Udinese,C,18,24,996,0,2,0.31,1.35,4,0,14,0.916,13,True,match su cognome+squadra,0.937,"nome completo -- titolarita' 38%, minuti giocati 29% del possibile; 1.9 tackle+intercetti/90",12,6.7,1,"cognome univoco -- 24 presenze, voto 6.70, baseline C 6.76"
Ardon Jashari,Milan,C,23,14,701,0,1,0.24,1.13,0,0,15,0.889,13,True,match su cognome+squadra,0.947,"nome completo -- titolarita' 50%, minuti giocati 20% del possibile; 2.1 tackle+intercetti/90",12,6.72,1,"cognome univoco -- 14 presenze, voto 6.72, baseline C 6.76"
Reda Belahyane,Lazio,C,21,13,609,0,2,0.21,1.13,1,1,14,0.895,13,True,match su cognome+squadra,0.918,"nome completo -- titolarita' 38%, minuti giocati 18% del possibile; 1.6 tackle+intercetti/90",12,6.69,1,"cognome univoco -- 13 presenze, voto 6.69, baseline C 6.76"
Nicolò Rovella,Lazio,C,23,11,512,0,1,0.02,1.47,2,1,15,0.876,13,True,match su cognome+squadra,0.995,"nome completo -- titolarita' 55%, minuti giocati 15% del possibile; 3.3 tackle+intercetti/90",13,7.07,4,"nome completo -- 11 presenze, voto 7.07, baseline C 6.76"
