nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match,fattore_affidabilita,note_fbref,valore_v4,voto_medio_2025_26,valore_moneyball,note_moneyball
Luca Moro,Sassuolo,A,24,14,211,0,0,0.83,0.26,1,0,10,0.867,9,True,match su cognome+squadra,0.874,"nome completo -- titolarita' 7%, minuti giocati 6% del possibile",8,,8,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Fila,Venezia,A,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,9,,9,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Karlsson,Bologna,A,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,9,,9,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Robinson,Monza,A,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,9,,9,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Mattia Felici,Cagliari,A,24,12,412,2,1,1.34,0.76,3,0,9,0.906,8,True,match su cognome+squadra,0.909,"nome completo -- titolarita' 33%, minuti giocati 12% del possibile",7,6.7,9,"cognome univoco -- 12 presenze, voto 6.70, baseline A 6.67"
Okoro,Venezia,A,,,,,,,,,,7,1.0,7,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,7,,7,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Lauberbach,Venezia,A,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,6,,6,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Paul Mendy,Cagliari,A,18,9,335,2,0,2.39,0.26,1,0,5,0.904,5,True,match su cognome+squadra,0.906,"nome completo -- titolarita' 33%, minuti giocati 10% del possibile",5,6.61,7,"cognome univoco -- 9 presenze, voto 6.61, baseline A 6.67"
Yael Trepy,Cagliari,A,,8,91,1,0,0.6,0.15,0,0,4,0.878,4,True,match su cognome+squadra,0.863,"nome completo -- titolarita' 0%, minuti giocati 3% del possibile",3,6.67,5,"cognome univoco -- 8 presenze, voto 6.67, baseline A 6.67"
Agustín Albarracín,Cagliari,A,19,2,33,0,0,0,0,0,0,5,0.86,4,True,match su cognome+squadra,0.861,"nome completo -- titolarita' 0%, minuti giocati 1% del possibile",3,6.55,1,"cognome univoco -- 2 presenze, voto 6.55, baseline A 6.67"
Rui Modesto,Udinese,A,25,3,119,0,1,0.01,0.44,0,0,5,0.869,4,True,match su cognome+squadra,0.864,"nome completo -- titolarita' 0%, minuti giocati 4% del possibile",3,6.87,2,"nome completo -- 3 presenze, voto 6.87, baseline A 6.67"
Antonio Arena,Roma,A,16,2,23,0,0,0.18,0,0,0,3,0.861,3,True,match su cognome+squadra,0.861,"nome completo -- titolarita' 0%, minuti giocati 1% del possibile",3,6.5,1,"cognome univoco -- 2 presenze, voto 6.50, baseline A 6.67"
Diallo,Parma,A,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,3,,3,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Forson,Monza,A,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,3,,3,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Loubao,Monza,A,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,3,,3,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Martins,Monza,A,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,3,,3,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Barcella,Frosinone,A,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,2,,2,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Burnete,Lecce,A,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,2,,2,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Cichero,Frosinone,A,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,2,,2,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Mattia Mosconi,Inter,A,18,2,27,0,0,0.17,0,0,0,1,0.861,1,True,match su cognome+squadra,0.861,"nome completo -- titolarita' 0%, minuti giocati 1% del possibile",1,6.2,1,"cognome univoco -- 2 presenze, voto 6.20, baseline A 6.67"
Matteo Lavelli,Inter,A,18,1,8,0,0,0,0,0,0,1,0.86,1,True,match su cognome+squadra,0.86,"nome completo -- titolarita' 0%, minuti giocati 0% del possibile",1,6.5,1,"cognome univoco -- 1 presenze, voto 6.50, baseline A 6.67"
Giuseppe Ambrosino,Napoli,A,21,3,38,0,0,0,0,0,0,1,0.86,1,True,match su cognome+squadra,0.861,"nome completo -- titolarita' 0%, minuti giocati 1% del possibile",1,6.63,1,"cognome univoco -- 3 presenze, voto 6.63, baseline A 6.67"
Riccardo Braschi,Fiorentina,A,18,2,105,0,0,0.15,0,0,0,1,0.862,1,True,match su cognome+squadra,0.917,"nome completo -- titolarita' 50%, minuti giocati 3% del possibile",1,6.35,1,"cognome univoco -- 2 presenze, voto 6.35, baseline A 6.67"
Balentien,Milan,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Colley,Frosinone,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Gori,Frosinone,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Jovic,Lecce,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
LAERKE,Lecce,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
LONTANI,Parma,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Rao,Napoli,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Spinaccè,Inter,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Vigliotti,Napoli,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Vinciati,Udinese,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1,,1,nessun ricalcolo (nessun voto trovato) -- resta il valore v4
Nicolás Paz,Como,C,20,35,2878,12,6,8.9,7.03,5,0,59,1.339,79,True,match su cognome+squadra,1.07,"nome completo -- titolarita' 94%, minuti giocati 84% del possibile; 2.6 tackle+intercetti/90",84,7.31,89,"cognome univoco -- 35 presenze, voto 7.31, baseline C 6.76"
Scott McTominay,Napoli,C,28,33,2791,10,3,12.43,2.01,1,0,60,1.232,74,True,match su cognome+squadra,1.007,"nome completo -- titolarita' 94%, minuti giocati 82% del possibile; 1.2 tackle+intercetti/90",75,7.06,64,"cognome univoco -- 33 presenze, voto 7.06, baseline C 6.76"
Hakan Çalhanoğlu,Inter,C,31,22,1639,9,4,5.15,3.48,7,0,60,1.165,70,True,match su cognome+squadra,1.007,"nome completo -- titolarita' 91%, minuti giocati 48% del possibile; 2.0 tackle+intercetti/90",71,7.51,67,"nome completo -- 22 presenze, voto 7.51, baseline C 6.76"
Christian Pulisic,Milan,C,26,30,1609,8,4,9.54,5.04,0,0,57,1.192,68,True,match su cognome+squadra,0.925,"nome completo -- titolarita' 60%, minuti giocati 47% del possibile; 0.6 tackle+intercetti/90",63,6.99,53,"cognome univoco -- 30 presenze, voto 6.99, baseline C 6.76"
Nikola Vlašić,Torino,C,27,37,3043,8,3,7.41,4.68,7,0,52,1.195,62,True,match su cognome+squadra,1.044,"nome completo -- titolarita' 97%, minuti giocati 89% del possibile; 1.8 tackle+intercetti/90",65,6.92,45,"nome completo -- 37 presenze, voto 6.92, baseline C 6.76"
Riccardo Orsolini,Bologna,C,28,35,2111,10,1,10.89,1.71,2,0,53,1.164,62,True,match su cognome+squadra,0.963,"nome completo -- titolarita' 74%, minuti giocati 62% del possibile; 0.9 tackle+intercetti/90",60,6.87,51,"nome completo -- 35 presenze, voto 6.87, baseline C 6.76"
Nicolò Zaniolo,Udinese,C,26,32,2257,5,6,6.14,5.69,8,0,48,1.182,57,True,match su cognome+squadra,0.981,"nome completo -- titolarita' 88%, minuti giocati 66% del possibile; 1.0 tackle+intercetti/90",56,6.83,29,"nome completo -- 32 presenze, voto 6.83, baseline C 6.76"
Lucas Da Cunha,Como,C,24,36,2739,6,4,6.93,6.02,4,0,45,1.182,53,True,match su cognome+squadra,1.02,"nome completo -- titolarita' 86%, minuti giocati 80% del possibile; 1.7 tackle+intercetti/90",54,7.12,50,"cognome univoco -- 36 presenze, voto 7.12, baseline C 6.76"
Adrien Rabiot,Milan,C,30,29,2550,6,4,4.36,3.94,6,1,46,1.132,52,True,match su cognome+squadra,1.03,"nome completo -- titolarita' 97%, minuti giocati 75% del possibile; 1.8 tackle+intercetti/90",54,7.24,49,"nome completo -- 29 presenze, voto 7.24, baseline C 6.76"
Weston McKennie,Juventus,C,26,36,2835,5,5,8.64,5.39,5,0,42,1.193,50,True,match su cognome+squadra,1.021,"nome completo -- titolarita' 89%, minuti giocati 83% del possibile; 1.6 tackle+intercetti/90",51,6.87,33,"nome completo -- 36 presenze, voto 6.87, baseline C 6.76"
Nicolò Barella,Inter,C,28,34,2517,3,8,3.82,7.97,7,0,40,1.199,48,True,match su cognome+squadra,1.009,"nome completo -- titolarita' 91%, minuti giocati 74% del possibile; 1.4 tackle+intercetti/90",48,7.18,42,"nome completo -- 34 presenze, voto 7.18, baseline C 6.76"
Martin Baturina,Como,C,22,29,1569,6,3,1.9,6.7,0,0,44,1.102,48,True,match su cognome+squadra,0.941,"nome completo -- titolarita' 59%, minuti giocati 46% del possibile; 1.1 tackle+intercetti/90",45,7.14,49,"cognome univoco -- 29 presenze, voto 7.14, baseline C 6.76"
Lorenzo Pellegrini,Roma,C,29,24,1463,4,2,4.78,3,2,0,46,1.04,48,True,match su cognome+squadra,0.966,"nome completo -- titolarita' 83%, minuti giocati 43% del possibile; 1.2 tackle+intercetti/90",46,,46,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Francisco Conceição,Juventus,C,22,31,2078,3,5,8.49,4.16,3,0,41,1.133,46,True,match su cognome+squadra,0.993,"nome completo -- titolarita' 87%, minuti giocati 61% del possibile; 1.4 tackle+intercetti/90",46,7.0,30,"nome completo -- 31 presenze, voto 7.00, baseline C 6.76"
Kevin De Bruyne,Napoli,C,34,18,1165,5,2,3.52,4.02,1,0,44,1.045,46,True,match su cognome+squadra,0.939,"nome completo -- titolarita' 72%, minuti giocati 34% del possibile; 1.0 tackle+intercetti/90",43,7.04,33,"cognome univoco -- 18 presenze, voto 7.04, baseline C 6.76"
Albert Guðmundsson,Fiorentina,C,28,33,2250,5,4,5.8,3.78,4,1,40,1.118,45,True,match su cognome+squadra,0.946,"nome completo -- titolarita' 82%, minuti giocati 66% del possibile; 0.3 tackle+intercetti/90",43,6.71,22,"nome completo -- 33 presenze, voto 6.71, baseline C 6.76"
Luka Modrić,Milan,C,39,34,2811,2,3,1.25,4.03,4,0,43,1.047,45,True,match su cognome+squadra,1.042,"nome completo -- titolarita' 94%, minuti giocati 82% del possibile; 2.0 tackle+intercetti/90",47,7.55,52,"cognome univoco -- 34 presenze, voto 7.55, baseline C 6.76"
Alisson Santos,Napoli,C,22,14,834,4,0,1.51,1.61,1,0,46,0.949,44,True,match su cognome+squadra,0.926,"nome completo -- titolarita' 64%, minuti giocati 24% del possibile; 1.1 tackle+intercetti/90",41,7.32,29,"nome completo -- 14 presenze, voto 7.32, baseline C 6.76"
Arthur Atta,Fiorentina,C,22,32,2557,5,3,4.23,3.25,3,0,39,1.101,43,True,"match su cognome (squadra diversa, trasferimento presunto)",1.008,"nome completo -- titolarita' 91%, minuti giocati 75% del possibile; 1.4 tackle+intercetti/90",43,6.89,31,"cognome univoco -- 32 presenze, voto 6.89, baseline C 6.76"
Piotr Zieliński,Inter,C,31,34,2045,6,3,2.1,4.24,3,0,39,1.096,43,True,match su cognome+squadra,0.961,"nome completo -- titolarita' 65%, minuti giocati 60% del possibile; 1.1 tackle+intercetti/90",41,7.08,46,"nome completo -- 34 presenze, voto 7.08, baseline C 6.76"
Kristian Thorstvedt,Sassuolo,C,26,32,2460,4,4,6.64,2.63,9,0,38,1.11,42,True,match su cognome+squadra,1.019,"nome completo -- titolarita' 84%, minuti giocati 72% del possibile; 1.9 tackle+intercetti/90",43,6.89,24,"nome completo -- 32 presenze, voto 6.89, baseline C 6.76"
Matteo Politano,Napoli,C,31,34,2200,2,5,3.13,5.6,4,0,38,1.094,42,True,match su cognome+squadra,0.954,"nome completo -- titolarita' 76%, minuti giocati 64% del possibile; 0.6 tackle+intercetti/90",40,6.9,21,"nome completo -- 34 presenze, voto 6.90, baseline C 6.76"
Manu Koné,Roma,C,24,29,2456,2,3,1.94,3.5,2,0,40,1.038,42,True,match su cognome+squadra,1.024,"nome completo -- titolarita' 97%, minuti giocati 72% del possibile; 1.7 tackle+intercetti/90",43,,43,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Mattia Zaccagni,Lazio,C,30,26,2104,3,0,6.38,2.79,6,1,41,1.003,41,True,match su cognome+squadra,1.019,"nome completo -- titolarita' 100%, minuti giocati 62% del possibile; 1.8 tackle+intercetti/90",42,6.98,16,"nome completo -- 26 presenze, voto 6.98, baseline C 6.76"
Alexis Saelemaekers,Milan,C,26,35,2788,3,3,3.6,4.79,5,0,38,1.085,41,True,match su cognome+squadra,1.05,"nome completo -- titolarita' 94%, minuti giocati 82% del possibile; 2.2 tackle+intercetti/90",43,7.17,36,"nome completo -- 35 presenze, voto 7.17, baseline C 6.76"
Federico Bernardeschi,Bologna,C,31,29,1217,4,2,3.18,3.57,3,0,40,1.023,41,True,match su cognome+squadra,0.909,"nome completo -- titolarita' 41%, minuti giocati 36% del possibile; 0.9 tackle+intercetti/90",37,6.91,26,"cognome univoco -- 29 presenze, voto 6.91, baseline C 6.76"
Máximo Perrone,Como,C,22,36,2742,3,4,2.49,2.54,8,0,35,1.076,38,True,match su cognome+squadra,1.036,"nome completo -- titolarita' 92%, minuti giocati 80% del possibile; 1.9 tackle+intercetti/90",39,6.99,26,"cognome univoco -- 36 presenze, voto 6.99, baseline C 6.76"
Ederson,Atalanta,C,,,,,,,,,,38,1.0,38,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,38,,38,"nessun ricalcolo (nome completo, 0 presenze 2025-26) -- resta il valore v4"
Maxence Caqueret,Como,C,25,30,1485,2,6,1.74,2.78,3,0,35,1.06,37,True,match su cognome+squadra,0.982,"nome completo -- titolarita' 57%, minuti giocati 43% del possibile; 2.2 tackle+intercetti/90",36,6.85,20,"cognome univoco -- 30 presenze, voto 6.85, baseline C 6.76"
Khéphren Thuram,Juventus,C,24,35,2442,3,3,4.06,2.65,2,0,35,1.063,37,True,match su cognome+squadra,1.01,"nome completo -- titolarita' 86%, minuti giocati 71% del possibile; 1.6 tackle+intercetti/90",37,,37,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Nicolò Fagioli,Fiorentina,C,24,33,2554,2,3,1.9,5.22,5,0,33,1.054,35,True,match su cognome+squadra,1.022,"nome completo -- titolarita' 91%, minuti giocati 75% del possibile; 1.7 tackle+intercetti/90",36,7.25,35,"nome completo -- 33 presenze, voto 7.25, baseline C 6.76"
Rolando Mandragora,Fiorentina,C,28,34,2421,7,3,4.7,2.88,7,0,30,1.13,34,True,match su cognome+squadra,1.004,"nome completo -- titolarita' 88%, minuti giocati 71% del possibile; 1.4 tackle+intercetti/90",34,7.02,45,"nome completo -- 34 presenze, voto 7.02, baseline C 6.76"
Ismaël Koné,Sassuolo,C,23,35,2737,6,0,5.08,1.76,5,1,32,1.051,34,True,match su cognome+squadra,0.999,"nome completo -- titolarita' 94%, minuti giocati 80% del possibile; 1.0 tackle+intercetti/90",34,,34,nessun ricalcolo (cognome ambiguo (2 candidati)) -- resta il valore v4
Henrikh Mkhitaryan,Inter,C,36,30,1560,4,1,6.04,3.31,5,0,33,1.031,34,True,match su cognome+squadra,0.988,"nome completo -- titolarita' 53%, minuti giocati 46% del possibile; 2.4 tackle+intercetti/90",34,6.97,26,"nome completo -- 30 presenze, voto 6.97, baseline C 6.76"
Manuel Locatelli,Juventus,C,27,36,2994,1,2,2.42,3.83,9,0,33,1.024,34,True,match su cognome+squadra,1.1,"nome completo -- titolarita' 100%, minuti giocati 88% del possibile; 3.1 tackle+intercetti/90",37,7.73,54,"cognome univoco -- 36 presenze, voto 7.73, baseline C 6.76"
Kenneth Taylor,Lazio,C,23,17,1394,3,2,2.09,1.08,5,0,34,0.986,34,True,match su cognome+squadra,0.981,"nome completo -- titolarita' 100%, minuti giocati 41% del possibile; 1.3 tackle+intercetti/90",33,6.85,15,"cognome univoco -- 17 presenze, voto 6.85, baseline C 6.76"
