nome,squadra,ruolo,posizione_raw,nazionalita,eta,presenze,titolarita,minuti,gol,assist,xG,xA,gialli,rossi,punteggio,valore_crediti,quotato,ha_dati_avanzati,dati_incompleti
Loïs Openda,Juventus,A,FWMF,BEL,25,24,6,666,1,0,3.65,0.6,0,0,8.950000000000001,16,True,True,False
Patrick Cutrone,Parma,A,FW,ITA,27,15,11,888,1,0,3.27,0.66,0,0,9.15,16,True,True,False
Álvaro Morata,Como,A,FW,ESP,32,26,9,930,0,1,4.91,0.78,4,1,8.56,15,True,True,False
Santiago Giménez,Milan,A,FW,MEX,24,16,11,892,0,1,3.79,0.55,2,0,8.214666666666668,15,True,True,False
Adrian Benedyczak,Parma,A,FW,POL,24,14,5,490,1,1,1.99,1.45,1,0,8.474666666666666,15,True,True,False
M'Bala Nzola,Sassuolo,A,FW,ANG,28,14,4,473,1,1,1.85,0.41,1,0,7.604333333333333,14,True,True,False
Gaetano Oristanio,Parma,A,FWMF,ITA,22,20,8,859,1,0,2.4,0.6,1,0,7.821666666666667,14,True,True,False
Vakoun Bayo,Udinese,A,FW,CIV,28,15,4,453,0,2,1.33,0.73,0,0,5.789,11,True,True,False
Jacob Ondrejka,Parma,A,FWMF,SWE,22,16,9,773,0,0,1.42,0.43,2,0,3.6003333333333334,7,True,True,False
Mattia Mosconi,Inter,A,FW,ITA,18,2,0,27,0,0,0.17,0,0,0,0.249,1,False,True,False
