nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match
Bowie,Sassuolo,A,,,,,,,,,,25,1.0,25,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Ghedjemis,Frosinone,A,,,,,,,,,,25,1.0,25,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Fabregas,Como,A,,,,,,,,,,25,1.0,25,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Adorante,Venezia,A,,,,,,,,,,24,1.0,24,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Yeboah,Venezia,A,,,,,,,,,,24,1.0,24,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Spalletti,Juventus,A,,,,,,,,,,24,1.0,24,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Gennaro Borrelli,Cagliari,A,25,27,1275,5,1,4.58,0.87,4,0,24,0.973,23,True,match su cognome+squadra
Raimondo,Frosinone,A,,,,,,,,,,23,1.0,23,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Sulemana,Atalanta,A,,,,,,,,,,23,1.0,23,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Amorim,Milan,A,,,,,,,,,,23,1.0,23,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Tijjani Noslin,Lazio,A,26,29,1148,4,2,4.32,2.39,6,1,23,0.962,22,True,match su cognome+squadra
Thijs Dallinga,Bologna,A,24,23,811,2,2,3.89,0.72,2,0,24,0.932,22,True,match su cognome+squadra
Patrick Cutrone,Monza,A,27,15,888,1,0,3.27,0.66,0,0,24,0.903,22,True,"match su cognome (squadra diversa, trasferimento presunto)"
Giovane,Napoli,A,21,12,338,0,1,0.56,0.2,0,0,25,0.873,22,True,match su cognome+squadra
Loïs Openda,Juventus,A,25,24,666,1,0,3.65,0.6,0,0,23,0.902,21,True,match su cognome+squadra
Andrea Belotti,Cagliari,A,31,8,221,2,0,2.31,0.04,0,0,23,0.902,21,True,match su cognome+squadra
Havel,Genoa,A,,,,,,,,,,21,1.0,21,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Sarri,Atalanta,A,,,,,,,,,,21,1.0,21,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Santiago Giménez,Milan,A,24,16,892,0,1,3.79,0.55,2,0,22,0.899,20,True,match su cognome+squadra
Nesta Elphege,Parma,A,24,9,309,2,1,2.35,0.36,0,0,22,0.91,20,True,match su cognome+squadra
Ekhator,Juventus,A,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Petagna,Monza,A,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Matteo Cancellieri,Lazio,A,23,30,1725,4,2,5.22,1.92,6,0,19,0.978,19,True,match su cognome+squadra
Adam Buksa,Udinese,A,29,25,922,3,0,2.78,1,3,0,20,0.926,19,True,match su cognome+squadra
Boulaye Dia,Lazio,A,28,27,1253,1,2,2.7,1.71,1,0,21,0.919,19,True,match su cognome+squadra
Artem Dovbyk,Bologna,A,28,14,393,3,1,3.1,1.29,0,0,20,0.931,19,True,"match su cognome (squadra diversa, trasferimento presunto)"
Mota,Monza,A,,,,,,,,,,19,1.0,19,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Gattuso,Lazio,A,,,,,,,,,,19,1.0,19,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Grosso,Fiorentina,A,,,,,,,,,,19,1.0,19,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
M'Bala Nzola,Fiorentina,A,28,14,473,1,1,1.85,0.41,1,0,20,0.896,18,True,"match su cognome (squadra diversa, trasferimento presunto)"
Robinio Vaz,Roma,A,18,12,216,1,0,0.66,0,0,0,20,0.879,18,True,match su cognome+squadra
Jayden Addai,Como,A,19,12,686,3,0,1.51,1.02,4,0,20,0.917,18,True,match su cognome+squadra
Nicolas-Gerrit Kühn,Como,A,25,23,665,1,1,0.9,1.44,0,0,20,0.896,18,True,match su cognome+squadra
Alieu Njie,Torino,A,20,15,299,1,1,1.21,0.16,2,0,20,0.889,18,True,match su cognome+squadra
Adams,Venezia,A,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Kvernadze,Frosinone,A,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Romero,Parma,A,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Abate,Torino,A,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Aquilani,Sassuolo,A,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Tedesco,Bologna,A,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Petar Ratkov,Lazio,A,21,8,233,0,0,0.53,0.02,0,0,20,0.865,17,True,match su cognome+squadra
Walid Cheddira,Napoli,A,27,16,221,1,0,0.78,0.09,1,0,19,0.88,17,True,"match su cognome (squadra diversa, trasferimento presunto)"
N’dri,Lecce,A,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
De Rossi,Genoa,A,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Runjaic,Udinese,A,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Cyril Ngonge,Napoli,A,25,20,994,1,1,2.76,0.56,2,0,18,0.907,16,True,"match su cognome (squadra diversa, trasferimento presunto)"
