nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match
Samuel Chukwueze,Milan,C,26,1,26,0,0,0,0,0,0,28,0.841,24,True,match su cognome+squadra
Samuele Ricci,Milan,C,23,31,1312,1,4,2.11,2.78,3,0,24,1.001,24,True,match su cognome+squadra
Luis Henrique,Inter,C,23,30,1624,1,2,1.15,2.19,1,0,25,0.964,24,True,match su cognome+squadra
Danilo Cataldi,Lazio,C,30,27,1985,3,3,2.71,2.05,6,0,22,1.034,23,True,match su cognome+squadra
Neil El Aynaoui,Roma,C,24,25,999,1,2,0.96,1.77,5,0,24,0.938,23,True,match su cognome+squadra
Nemanja Matić,Sassuolo,C,36,34,2660,1,1,0.33,0.92,7,1,24,0.948,23,True,match su cognome+squadra
Teun Koopmeiners,Juventus,C,27,33,1827,0,0,1.79,0.73,5,0,25,0.906,23,True,match su cognome+squadra
Jesper Karlström,Udinese,C,30,36,3146,1,0,0.94,0.9,6,0,23,0.956,22,True,match su cognome+squadra
Gvidas Gineitis,Torino,C,21,29,1756,0,1,0.94,2.68,5,0,23,0.937,22,True,match su cognome+squadra
Berisha,Lecce,C,,,,,,,,,,22,1.0,22,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Calò,Frosinone,C,,,,,,,,,,22,1.0,22,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Luiz,Juventus,C,,,,,,,,,,22,1.0,22,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Michael Folorunsho,Napoli,C,27,27,1999,2,0,2.95,0.94,3,0,22,0.955,21,True,"match su cognome (squadra diversa, trasferimento presunto)"
Evan Ferguson,Bologna,C,20,16,773,3,2,3.48,1.69,1,0,20,0.985,20,True,"match su cognome (squadra diversa, trasferimento presunto)"
Gianluca Gaetano,Atalanta,C,25,33,1912,2,4,2,2.21,4,0,19,1.031,20,True,"match su cognome (squadra diversa, trasferimento presunto)"
Antonio Vergara,Napoli,C,22,12,612,1,2,0.71,0.84,2,0,22,0.922,20,True,match su cognome+squadra
Frendrup,Genoa,C,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Gandelman,Lecce,C,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Milla,Como,C,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Oulai,Fiorentina,C,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Pessina,Monza,C,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Alieu Fadera,Como,C,23,28,987,2,1,2.36,0.88,5,0,20,0.937,19,True,"match su cognome (squadra diversa, trasferimento presunto)"
Daniel Maldini,Cagliari,C,23,12,687,2,1,2.15,0.56,0,0,20,0.93,19,True,"match su cognome (squadra diversa, trasferimento presunto)"
Tommaso Pobega,Bologna,C,26,26,1434,3,1,1.84,0.55,2,1,20,0.954,19,True,match su cognome+squadra
Jakub Piotrowski,Udinese,C,27,33,1696,1,1,3.21,0.78,2,0,20,0.95,19,True,match su cognome+squadra
Mandela Keita,Parma,C,23,37,2979,1,1,0.48,0.28,1,0,20,0.965,19,True,match su cognome+squadra
Marco Brescianini,Fiorentina,C,25,17,862,1,1,2.15,1.14,1,0,21,0.923,19,True,match su cognome+squadra
Giovanni Fabbian,Fiorentina,C,22,14,705,2,0,1.95,0.95,0,0,21,0.912,19,True,"match su cognome (squadra diversa, trasferimento presunto)"
Schmid,Frosinone,C,,,,,,,,,,19,1.0,19,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Tommaso Baldanzi,Genoa,C,22,10,386,1,0,1.35,0.41,2,0,20,0.877,18,True,"match su cognome (squadra diversa, trasferimento presunto)"
Michel Ndary Adopo,Cagliari,C,25,38,3050,1,2,2.53,2.44,4,0,18,1.014,18,True,match su cognome+squadra
Toma Bašić,Venezia,C,28,23,1735,2,3,1.31,2.41,0,1,18,0.999,18,True,"match su cognome (squadra diversa, trasferimento presunto)"
Nikola Moro,Bologna,C,27,30,1799,2,0,0.93,2.05,1,0,19,0.944,18,True,match su cognome+squadra
Fabio Miretti,Juventus,C,21,23,617,1,2,1.63,1.25,1,0,19,0.93,18,True,match su cognome+squadra
Lewis Ferguson,Bologna,C,25,27,1601,1,0,0.65,1.57,7,1,20,0.906,18,True,match su cognome+squadra
Davide Frattesi,Lazio,C,25,22,569,0,0,2.29,0.6,0,0,21,0.874,18,True,"match su cognome (squadra diversa, trasferimento presunto)"
Giovanni Fabbian,Fiorentina,C,22,15,468,0,0,0.72,0.7,2,0,21,0.862,18,True,match su cognome+squadra
Edon Zhegrova,Juventus,C,26,19,382,0,0,0.76,1.03,1,0,21,0.861,18,True,match su cognome+squadra
Marco Brescianini,Fiorentina,C,25,9,182,1,0,0.2,0.1,1,0,21,0.861,18,True,"match su cognome (squadra diversa, trasferimento presunto)"
Liberali,Como,C,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Sow,Genoa,C,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Stankovic,Inter,C,,,,,,,,,,18,1.0,18,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Daniel Maldini,Cagliari,C,23,9,264,0,0,0.66,0.62,1,0,20,0.857,17,True,"match su cognome (squadra diversa, trasferimento presunto)"
Ellertsson,Genoa,C,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Gomez,Udinese,C,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Perez,Venezia,C,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Sorensen,Parma,C,,,,,,,,,,17,1.0,17,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Cher Ndour,Fiorentina,C,21,33,1876,3,0,2.61,0.35,2,0,17,0.959,16,True,match su cognome+squadra
Hans Nicolussi Caviglia,Parma,C,25,15,869,0,3,0.73,0.82,0,0,17,0.933,16,True,match su cognome+squadra
Emirhan İlkhan,Torino,C,21,19,1001,1,2,2.36,1.22,2,1,17,0.939,16,True,match su cognome+squadra
Matteo Prati,Cagliari,C,21,20,1268,1,0,1.2,1.44,4,0,18,0.91,16,True,match su cognome+squadra
Andy Diouf,Inter,C,22,19,493,1,0,0.94,1.75,1,0,18,0.889,16,True,match su cognome+squadra
Matteo Prati,Cagliari,C,21,13,614,0,1,0.47,0.26,2,0,18,0.881,16,True,"match su cognome (squadra diversa, trasferimento presunto)"
Jacopo Fazzini,Cagliari,C,22,20,584,0,0,0.88,0.72,2,0,18,0.866,16,True,"match su cognome (squadra diversa, trasferimento presunto)"
Colpani,Monza,C,,,,,,,,,,16,1.0,16,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Koutsoupias,Frosinone,C,,,,,,,,,,16,1.0,16,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Masini,Frosinone,C,,,,,,,,,,16,1.0,16,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Fisayo Dele-Bashiru,Lazio,C,24,24,1187,1,0,0.59,1.12,0,0,17,0.901,15,True,match su cognome+squadra
Simon Sohm,Venezia,C,24,16,708,0,1,0.18,1.74,2,0,17,0.894,15,True,"match su cognome (squadra diversa, trasferimento presunto)"
Hans Nicolussi Caviglia,Parma,C,25,11,585,0,1,0.12,0.92,4,0,17,0.882,15,True,"match su cognome (squadra diversa, trasferimento presunto)"
Simon Sohm,Venezia,C,24,12,717,0,0,0.61,0.3,1,0,17,0.867,15,True,"match su cognome (squadra diversa, trasferimento presunto)"
Busio,Venezia,C,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Cichella,Frosinone,C,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Hainaut,Venezia,C,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Lindstrom,Napoli,C,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Payero,Udinese,C,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Traorè,Genoa,C,,,,,,,,,,15,1.0,15,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Gaetano Oristanio,Torino,C,22,20,859,1,0,2.4,0.6,1,0,16,0.899,14,True,"match su cognome (squadra diversa, trasferimento presunto)"
Luca Lipani,Sassuolo,C,20,24,1034,0,1,0.92,1.11,3,0,16,0.901,14,True,match su cognome+squadra
Lorenzo Venturino,Genoa,C,19,10,207,0,0,0.29,0.44,0,0,16,0.85,14,True,"match su cognome (squadra diversa, trasferimento presunto)"
Woyo Coulibaly,Lecce,C,26,20,1054,0,0,0.11,0.3,2,0,16,0.87,14,True,"match su cognome (squadra diversa, trasferimento presunto)"
Grillitsch,Frosinone,C,,,,,,,,,,14,1.0,14,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Sottil,Fiorentina,C,,,,,,,,,,14,1.0,14,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Luca Mazzitelli,Como,C,29,18,767,2,2,0.71,1.07,3,0,14,0.944,13,True,"match su cognome (squadra diversa, trasferimento presunto)"
Lennon Miller,Udinese,C,18,24,996,0,2,0.31,1.35,4,0,14,0.916,13,True,match su cognome+squadra
Ardon Jashari,Milan,C,23,14,701,0,1,0.24,1.13,0,0,15,0.889,13,True,match su cognome+squadra
Reda Belahyane,Lazio,C,21,13,609,0,2,0.21,1.13,1,1,14,0.895,13,True,match su cognome+squadra
Nicolò Rovella,Lazio,C,23,11,512,0,1,0.02,1.47,2,1,15,0.876,13,True,match su cognome+squadra
Edoardo Iannoni,Sassuolo,C,24,15,260,1,0,0.76,0,3,0,15,0.866,13,True,match su cognome+squadra
Chakvetadze,Udinese,C,,,,,,,,,,13,1.0,13,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Sulemana,Atalanta,C,,,,,,,,,,13,1.0,13,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Winks,Cagliari,C,,,,,,,,,,13,1.0,13,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Kristjan Asllani,Inter,C,23,15,1129,0,0,1.16,1.13,3,0,13,0.888,12,True,"match su cognome (squadra diversa, trasferimento presunto)"
Christian Ordoñez,Parma,C,21,28,1091,1,0,0.45,0.27,5,1,14,0.881,12,True,match su cognome+squadra
Ivan Ilić,Torino,C,24,8,416,0,0,0,0.72,2,0,14,0.857,12,True,match su cognome+squadra
Bondo,Milan,C,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Meichtry,Genoa,C,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Alessandro Deiola,Cagliari,C,29,20,1430,0,2,2.23,0.6,3,0,12,0.938,11,True,match su cognome+squadra
Yunus Musah,Milan,C,22,19,574,1,0,0.75,0.11,1,0,13,0.876,11,True,"match su cognome (squadra diversa, trasferimento presunto)"
Yunus Musah,Milan,C,22,1,90,0,0,0,0.63,0,0,13,0.848,11,True,match su cognome+squadra
Oier Zarraga,Udinese,C,26,24,475,0,0,0.6,0.13,2,0,13,0.855,11,True,match su cognome+squadra
Amondarain,Bologna,C,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Amorim,Genoa,C,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Ciurria,Monza,C,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Colombo,Monza,C,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Fitz-Jim,Torino,C,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Zerbin,Frosinone,C,,,,,,,,,,11,1.0,11,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Bennacer,Milan,C,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Duncan,Venezia,C,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Gelli,Frosinone,C,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Helgason,Venezia,C,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Sala,Lecce,C,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Vasilije Adžić,Sassuolo,C,19,10,171,1,0,0.23,0.18,0,0,10,0.863,9,True,"match su cognome (squadra diversa, trasferimento presunto)"
Sandi Lovrić,Udinese,C,27,6,161,0,1,0.13,1.17,1,0,10,0.873,9,True,match su cognome+squadra
Faustino Anjorin,Torino,C,23,15,289,0,0,0.6,0.12,1,0,11,0.851,9,True,match su cognome+squadra
Compagnon,Venezia,C,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Kone,Frosinone,C,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Maleh,Lecce,C,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Billy Gilmour,Napoli,C,24,17,805,1,0,0.57,0.48,1,0,9,0.885,8,True,match su cognome+squadra
Darryl Bakola,Sassuolo,C,17,6,128,0,1,0.13,0.47,0,0,9,0.867,8,True,match su cognome+squadra
Ben Cremaschi,Parma,C,20,8,132,0,0,0.02,0.01,0,0,10,0.844,8,True,match su cognome+squadra
Cajuste,Napoli,C,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
El Azzouzi,Bologna,C,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Ngom,Lecce,C,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Pafundi,Udinese,C,,,,,,,,,,8,1.0,8,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Akinsanmiro,Monza,C,,,,,,,,,,7,1.0,7,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Adrian Przyborek,Lazio,C,18,1,9,0,0,0.02,0,0,0,7,0.84,6,True,match su cognome+squadra
Daniel Boloca,Sassuolo,C,26,2,135,0,0,0.1,0.04,0,0,7,0.845,6,True,match su cognome+squadra
Bohinen,Venezia,C,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Dagasso,Venezia,C,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Foe-Ondoa,Monza,C,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Grosso,Frosinone,C,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Kaba,Lecce,C,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Alessandro Romano,Cagliari,C,19,2,8,0,0,0,0,0,0,6,0.84,5,True,"match su cognome (squadra diversa, trasferimento presunto)"
Bjarkason,Venezia,C,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Carboni,Inter,C,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Galazzi,Monza,C,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Hasa,Frosinone,C,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Lafont,Genoa,C,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Nuamah,Sassuolo,C,,,,,,,,,,5,1.0,5,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Akarakiri,Cagliari,C,,,,,,,,,,4,1.0,4,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Fofana,Lecce,C,,,,,,,,,,4,1.0,4,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Lella,Venezia,C,,,,,,,,,,4,1.0,4,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Massolin,Inter,C,,,,,,,,,,4,1.0,4,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Wiafe,Genoa,C,,,,,,,,,,4,1.0,4,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Joseph Liteta,Cagliari,C,19,4,264,0,0,0,0,0,0,4,0.848,3,True,match su cognome+squadra
Zeroli,Milan,C,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Cissè,Milan,C,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Farji,Venezia,C,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Lahdo,Como,C,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Marchwinski,Lecce,C,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Luka Topalović,Inter,C,19,1,10,0,1,0,0.16,0,0,1,0.86,1,True,match su cognome+squadra
Abdoulaye Camara,Udinese,C,16,1,12,0,0,0,0.04,0,0,1,0.841,1,True,match su cognome+squadra
Ballabio,Monza,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Berardi,Venezia,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Berenbruch,Inter,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Cacciamani,Torino,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Carbone,Genoa,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Gorter,Lecce,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Kamate,Inter,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Kouda,Parma,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Kovac,Lecce,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Luongo,Torino,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Saco,Napoli,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Terrnava,Parma,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Toci,Frosinone,C,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Federico Dimarco,Inter,D,27,35,2698,7,16,7.29,15.93,3,0,43,1.35,58,True,match su cognome+squadra
Wesley,Roma,D,21,30,2448,5,0,2.48,5.35,7,2,36,1.18,42,True,match su cognome+squadra
Gianluca Mancini,Roma,D,29,36,3059,4,2,2.39,2.72,9,0,33,1.264,42,True,match su cognome+squadra
Strahinja Pavlović,Milan,D,24,34,2869,5,1,3.91,0.72,4,0,33,1.27,42,True,match su cognome+squadra
Gleison Bremer,Juventus,D,28,26,2171,4,3,2.71,0.41,5,0,34,1.175,40,True,match su cognome+squadra
Davide Zappacosta,Atalanta,D,33,35,2569,3,3,3.23,4.51,3,0,32,1.224,39,True,match su cognome+squadra
Pierre Kalulu,Juventus,D,25,37,3281,2,4,1.45,5.54,4,1,31,1.242,39,True,match su cognome+squadra
Alessandro Bastoni,Inter,D,26,28,2239,1,4,1.69,3.2,6,0,35,1.108,39,True,match su cognome+squadra
Andrea Cambiaso,Juventus,D,25,36,2769,3,4,2.9,6.85,3,1,29,1.261,37,True,match su cognome+squadra
Oumar Solet,Udinese,D,25,35,2959,3,1,2.9,2.3,1,0,30,1.212,36,True,match su cognome+squadra
Manuel Akanji,Inter,D,30,33,2821,2,0,2.3,0.33,4,0,32,1.118,36,True,match su cognome+squadra
Giovanni Di Lorenzo,Napoli,D,31,26,2276,2,1,1.95,3,1,0,32,1.096,35,True,match su cognome+squadra
Evan N'Dicka,Roma,D,25,31,2680,3,0,2.39,0.56,5,0,30,1.143,34,True,match su cognome+squadra
Dodô,Fiorentina,D,26,36,3134,1,2,1.38,5.39,7,0,28,1.176,33,True,match su cognome+squadra
Marc-Oliver Kempf,Como,D,30,34,2326,4,1,3.28,1.1,3,0,27,1.173,32,True,match su cognome+squadra
Leonardo Spinazzola,Napoli,D,32,32,1901,3,3,1.21,2.61,2,0,27,1.109,30,True,match su cognome+squadra
Jacobo Ramón,Como,D,20,32,2742,2,0,5.47,1.03,11,1,26,1.135,30,True,match su cognome+squadra
Yann Aurel Bisseck,Inter,D,24,23,1922,3,1,2.83,0.65,2,0,28,1.084,30,True,match su cognome+squadra
Stones,Inter,D,,,,,,,,,,30,1.0,30,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Giorgio Scalvini,Atalanta,D,21,24,1808,3,1,3.86,1.58,2,0,26,1.102,29,True,match su cognome+squadra
Molina,Roma,D,,,,,,,,,,29,1.0,29,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Mario Hermoso,Roma,D,30,27,2085,3,2,2.19,0.86,9,0,25,1.11,28,True,match su cognome+squadra
Álex Valle,Como,D,21,28,2026,1,4,0.89,1.48,3,0,26,1.058,28,True,match su cognome+squadra
Lloyd Kelly,Juventus,D,26,35,2996,1,1,0.97,1.06,4,0,24,1.106,27,True,match su cognome+squadra
Robin Gosens,Fiorentina,D,31,26,1881,3,1,2.4,0.96,2,0,25,1.084,27,True,match su cognome+squadra
Spence,Inter,D,,,,,,,,,,27,1.0,27,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Juan Miranda,Bologna,D,25,32,2573,1,3,0.52,4.5,6,0,23,1.113,26,True,match su cognome+squadra
Amir Rrahmani,Napoli,D,31,21,1795,2,1,1.35,0.24,2,0,25,1.017,25,True,match su cognome+squadra
Chalobah,Como,D,,,,,,,,,,25,1.0,25,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Marcus Pedersen,Torino,D,25,29,2134,1,2,1.62,2.89,3,0,23,1.054,24,True,match su cognome+squadra
Carlos Augusto,Inter,D,26,34,1763,1,1,1.96,1.14,6,0,24,0.985,24,True,match su cognome+squadra
Isak Hien,Atalanta,D,26,28,1970,1,0,1.08,0.11,5,0,25,0.971,24,True,match su cognome+squadra
Ostigard,Genoa,D,,,,,,,,,,23,1.0,23,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Davide Bartesaghi,Milan,D,19,31,2441,2,0,1.37,3.91,3,0,20,1.092,22,True,match su cognome+squadra
Raoul Bellanova,Atalanta,D,25,24,1377,0,1,0.5,1.94,2,0,24,0.902,22,True,match su cognome+squadra
Tarik Muharemovic,Sassuolo,D,22,32,2835,2,2,2.83,0.93,7,0,19,1.165,22,True,match su cognome+squadra
Adam Marušić,Lazio,D,32,33,2778,1,2,1.74,1.54,1,1,20,1.101,22,True,match su cognome+squadra
Alessandro Buongiorno,Napoli,D,26,33,2521,0,1,1.64,0.35,3,0,21,1.028,22,True,match su cognome+squadra
Mario Gila,Milan,D,24,31,2472,0,0,1.63,0.72,4,1,22,0.997,22,True,"match su cognome (squadra diversa, trasferimento presunto)"
Zeki Çelik,Juventus,D,28,34,2723,1,2,1.77,2.41,2,1,19,1.103,21,True,"match su cognome (squadra diversa, trasferimento presunto)"
Emanuele Valeri,Parma,D,26,34,2643,0,2,0.67,3.78,2,0,20,1.069,21,True,match su cognome+squadra
Thomas Kristensen,Atalanta,D,23,28,2472,3,0,1.88,0.22,4,0,19,1.11,21,True,"match su cognome (squadra diversa, trasferimento presunto)"
Matteo Gabbia,Milan,D,25,30,2530,0,0,1.54,0.05,4,0,21,1.008,21,True,match su cognome+squadra
Jhon Lucumí,Bologna,D,27,29,2287,1,0,1.38,0.79,5,0,21,1.02,21,True,match su cognome+squadra
Alessio Romagnoli,Lazio,D,30,32,2666,0,0,1.54,0.07,6,1,21,1.005,21,True,match su cognome+squadra
Yerry Mina,Cagliari,D,30,26,2150,2,0,1.76,0.43,5,1,20,1.026,21,True,match su cognome+squadra
Vasquez,Genoa,D,,,,,,,,,,21,1.0,21,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Fikayo Tomori,Milan,D,27,33,2554,0,2,0.59,1,8,1,20,1.021,20,True,match su cognome+squadra
Berat Djimsiti,Atalanta,D,32,34,2525,0,0,1.69,0.33,4,0,20,1.014,20,True,match su cognome+squadra
Luca Ranieri,Fiorentina,D,26,34,2458,1,0,2.08,1.03,8,1,19,1.031,20,True,match su cognome+squadra
Couto,Como,D,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Dragusin,Fiorentina,D,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Gallo,Lecce,D,,,,,,,,,,20,1.0,20,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Fabiano Parisi,Fiorentina,D,24,23,1520,1,1,1.3,1.92,6,0,20,0.962,19,True,match su cognome+squadra
Emil Holm,Bologna,D,25,11,655,1,4,0.85,2.05,3,1,21,0.897,19,True,match su cognome+squadra
Del Prato,Parma,D,,,,,,,,,,19,1.0,19,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
